dataset,instance,BKS,bks_source,source_path
S,S_1,36964.861,MAT_mip_600s | 600s | experiments\matheuristics\results_production\s1\S_1_mip_seed1_b600.json,experiments\matheuristics\results_production\s1\S_1_mip_seed1_b600.json
S,S_10,5639.568,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\Ale_10_mip_seed1_b600.json,experiments\matheuristics\results_production\b600\Ale_10_mip_seed1_b600.json
S,S_2,99950.709,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\Ale_2_mip_seed1_b600.json,experiments\matheuristics\results_production\b600\Ale_2_mip_seed1_b600.json
S,S_3,39695.173,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\Ale_3_mip_seed1_b600.json,experiments\matheuristics\results_production\b600\Ale_3_mip_seed1_b600.json
S,S_4,127725.976,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\Ale_4_mip_seed1_b600.json,experiments\matheuristics\results_production\b600\Ale_4_mip_seed1_b600.json
S,S_5,35426.141,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\Ale_5_mip_seed1_b600.json,experiments\matheuristics\results_production\b600\Ale_5_mip_seed1_b600.json
S,S_6,66677.463,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\Ale_6_mip_seed1_b600.json,experiments\matheuristics\results_production\b600\Ale_6_mip_seed1_b600.json
S,S_7,10568.618,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\Ale_7_mip_seed1_b600.json,experiments\matheuristics\results_production\b600\Ale_7_mip_seed1_b600.json
S,S_8,160911.938,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\Ale_8_mip_seed1_b600.json,experiments\matheuristics\results_production\b600\Ale_8_mip_seed1_b600.json
S,S_9,15627.917,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\Ale_9_mip_seed1_b600.json,experiments\matheuristics\results_production\b600\Ale_9_mip_seed1_b600.json
2X,IncT2X_1,40179.544,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\IncT2X_1_mip_seed1_b600.json,experiments\matheuristics\results_production\b600\IncT2X_1_mip_seed1_b600.json
2X,IncT2X_10,8335.23,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\IncT2X_10_mip_seed1_b600.json,experiments\matheuristics\results_production\b600\IncT2X_10_mip_seed1_b600.json
2X,IncT2X_2,105100.906,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\IncT2X_2_mip_seed1_b600.json,experiments\matheuristics\results_production\b600\IncT2X_2_mip_seed1_b600.json
